Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Fantasia 2000 (IMAX),60507228,60507228,80000000,1-Jan-00,91-00,G,75,Walt Disney Pictures,Compilation,Musical,Kids Fiction,,,,
Next Friday,57176582,59675307,9500000,12-Jan-00,91-00,R,98,New Line,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,21,5.3,10176
My Dog Skip,34099640,35512760,7000000,12-Jan-00,91-00,PG,95,Warner Bros.,Original Screenplay,Drama,Kids Fiction,Jay Russell,72,6.9,9029
Supernova,14218868,14218868,60000000,14-Jan-00,91-00,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Francis Ford Coppola,10,6.8,127
The Boondock Saints,30471,250000,7000000,21-Jan-00,91-00,R,,Indican Pictures,Original Screenplay,Action,,,19,7.8,86172
Down to You,20035310,20035310,9000000,21-Jan-00,91-00,PG-13,92,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,3,4.4,7095
Isn't She Great,2954405,2954405,36000000,28-Jan-00,91-00,R,,Universal,Based on Magazine Article,Comedy,Contemporary Fiction,Andrew Bergman,25,4.9,1426
The Big Tease,185577,185577,4000000,28-Jan-00,91-00,R,,Warner Bros.,Original Screenplay,Comedy,,,,6.1,1610
Eye of the Beholder,16500786,18260865,15000000,28-Jan-00,91-00,R,,Destination Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,9992
Gun Shy,1638202,1638202,10000000,4-Feb-00,91-00,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,24,5.4,3607
Scream 3,89138076,161838076,40000000,4-Feb-00,91-00,R,118,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,38,5.3,38230
The Tigger Movie,4554533,55159800,20000000,11-Feb-00,91-00,G,77,Walt Disney Pictures,Spin-Off,Adventure,Kids Fiction,,61,6,2986
