Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Snow Day,60008303,62452927,13000000,11-Feb-00,91-00,PG,89,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,26,4.4,4611
The Beach,39778599,39778599,50000000,11-Feb-00,91-00,R,119,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,19,4.5,229
The Whole Nine Yards,57262492,85262492,24000000,18-Feb-00,91-00,R,99,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,45,6.6,42928
Hanging Up,36037909,51867723,40000000,18-Feb-00,91-00,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,12,4.3,6098
Boiler Room,16963963,28773637,9000000,18-Feb-00,91-00,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,,67,6.9,22979
Pitch Black,39235088,53182088,23000000,18-Feb-00,91-00,R,110,USA Films,Original Screenplay,Horror,Science Fiction,David Twohy,55,7,55217
Wonder Boys,19389454,33422485,35000000,23-Feb-00,91-00,R,111,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Curtis Hanson,81,7.5,31572
Reindeer Games,23360779,23360779,36000000,25-Feb-00,91-00,R,104,Miramax,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,,5.5,16822
3 Strikes,9821335,9821335,4000000,1-Mar-00,91-00,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,,2.9,905
Drowning Mona,15427192,15427192,16000000,3-Mar-00,91-00,PG-13,,Destination Films,Original Screenplay,Comedy,Contemporary Fiction,,29,5.3,7606
What Planet Are You From?,6291602,6291602,50000000,3-Mar-00,91-00,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Mike Nichols,42,5.4,5304
The Next Best Thing,14983572,24355762,25000000,3-Mar-00,91-00,PG-13,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,John Schlesinger,19,4.4,6104
Ghost Dog: Way of the Samurai,3330230,6030230,2000000,3-Mar-00,91-00,R,,Artisan,Original Screenplay,Drama,Contemporary Fiction,Jim Jarmusch,,,
Mission to Mars,60874615,106000000,90000000,10-Mar-00,91-00,PG,116,Walt Disney Pictures,Original Screenplay,Adventure,Science Fiction,Brian De Palma,24,5.1,32449
The Ninth Gate,18653746,58394308,38000000,10-Mar-00,91-00,R,133,Artisan,Original Screenplay,Thriller/Suspense,Fantasy,Roman Polanski,,6.6,50510
Erin Brockovich,125548685,258400000,50000000,17-Mar-00,91-00,R,133,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83,7.2,54977
Final Destination,53302314,112802314,23000000,17-Mar-00,91-00,R,98,New Line,Original Screenplay,Horror,Fantasy,James Wong,31,6.8,52618
Romeo Must Die,55973336,91036760,25000000,22-Mar-00,91-00,R,114,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.9,25309
Here on Earth,10494147,10845127,15000000,24-Mar-00,91-00,PG-13,,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,18,4.6,4929
Whatever it Takes,8735529,8735529,15000000,24-Mar-00,91-00,PG-13,,Sony Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,16,5.2,4192
The Road to El Dorado,50802661,65700000,95000000,31-Mar-00,91-00,PG,90,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,David Silverman,49,6.4,8876
High Fidelity,27277055,47881663,20000000,31-Mar-00,91-00,R,114,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Stephen Frears,92,7.6,69740
The Skulls,35007180,35007180,15000000,31-Mar-00,91-00,PG-13,107,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Rob Cohen,8,5.3,14903
Black and White,5241315,5241315,10000000,5-Apr-00,91-00,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,James Toback,,6.6,452
Ready to Rumble,12372410,12372410,24000000,7-Apr-00,91-00,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Brian Robbins,25,,
Return to Me,32662299,32662299,24000000,7-Apr-00,91-00,PG,116,MGM,Original Screenplay,Romantic Comedy,Contemporary Fiction,,61,6.6,9565
Rules of Engagement,61322858,71719931,60000000,7-Apr-00,91-00,R,127,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,William Friedkin,37,6.2,18462
American Psycho,15070285,28674417,8000000,14-Apr-00,91-00,R,,Lionsgate,Based on Book/Short Story,Comedy,Historical Fiction,Mary Harron,66,7.4,99424
28 Days,37035515,62063972,43000000,14-Apr-00,91-00,PG-13,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Betty Thomas,30,5.8,17937
East is East,4170647,4170647,3000000,14-Apr-00,91-00,R,,Miramax,Based on Play,Comedy,Contemporary Fiction,,,6.7,8351
Keeping the Faith,37036404,45336404,29000000,14-Apr-00,91-00,PG-13,129,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,68,6.5,25485
La otra conquista,886410,886410,3500000,19-Apr-00,91-00,R,,Hombre de Oro,Original Screenplay,Drama,Historical Fiction,,,6.1,584
U-571,77086030,127630030,62000000,21-Apr-00,91-00,PG-13,116,Universal,Original Screenplay,Action,Historical Fiction,Jonathan Mostow,68,6.4,32528
The Virgin Suicides,4859475,4859475,6000000,21-Apr-00,91-00,R,,Paramount Vantage,Based on Book/Short Story,Comedy,Contemporary Fiction,Sofia Coppola,,7.2,49110
Love and Basketball,27441122,27709625,15000000,21-Apr-00,91-00,PG-13,125,New Line,Original Screenplay,Drama,Historical Fiction,Gina Prince-Bythewood,81,6.7,5835
Gossip,5108820,12591270,14000000,21-Apr-00,91-00,R,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,,28,,
The Flintstones in Viva Rock Vegas,35231365,59431365,58000000,28-Apr-00,91-00,PG,90,Universal,Based on TV,Comedy,Kids Fiction,Brian Levant,24,3.3,5491
Frequency,44983704,68079671,31000000,28-Apr-00,91-00,PG-13,118,New Line,Original Screenplay,Drama,Science Fiction,,69,7.3,35968
Where the Heart Is,33771174,40862054,15000000,28-Apr-00,91-00,PG-13,120,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,34,6.4,13302
Gladiator,187683805,457683805,103000000,5-May-00,91-00,R,150,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512
Luminarias,428535,428535,1000000,5-May-00,91-00,R,,,,Comedy,,,,4.3,467
Michael Jordan to the MAX,18642318,18642318,7000000,5-May-00,91-00,Not Rated,46,Giant Screen Films,Based on Real Life Events,Documentary,Factual,,64,7.2,746
I Dreamed of Africa,6543194,6543194,34000000,5-May-00,91-00,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Hugh Hudson,9,5.2,2298
The Basket,609042,609042,1300000,5-May-00,91-00,PG,,MGM,Original Screenplay,Drama,,,,6.3,343
Human Traffic,104257,5422740,3300000,5-May-00,91-00,R,,Miramax,,,,,,6.6,9455
Battlefield Earth: A Saga of the Year 3000,21471685,29725663,80000000,12-May-00,91-00,PG-13,121,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,,,2.3,39316
Screwed,6982680,6982680,12000000,12-May-00,91-00,PG-13,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,13,5.1,4411
Held Up,4714090,4714090,8000000,12-May-00,91-00,PG-13,,Trimark,Original Screenplay,Comedy,Contemporary Fiction,,17,4.7,1840
Center Stage,17200925,17200925,18000000,12-May-00,91-00,PG-13,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,,42,6.2,7968
Hamlet,1577287,2288841,2000000,12-May-00,91-00,R,,Miramax,Based on Play,Drama,Contemporary Fiction,,71,6,5147
Dinosaur,137748063,356148063,127500000,19-May-00,91-00,PG,82,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Eric Leighton,65,6.2,13962
Road Trip,68525609,119739110,16000000,19-May-00,91-00,R,94,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,59,6.4,44702
Small Time Crooks,17266359,29934477,18000000,19-May-00,91-00,PG,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,66,6.5,15636
Mission: Impossible 2,215409889,546209889,120000000,24-May-00,91-00,PG-13,124,Paramount Pictures,Based on TV,Action,Contemporary Fiction,John Woo,,6.9,86222
Hum to Mohabbt Karega,121807,121807,2000000,26-May-00,91-00,Not Rated,,,,Drama,,,,3.6,74
Shanghai Noon,56932305,71189835,55000000,26-May-00,91-00,PG-13,110,Walt Disney Pictures,Original Screenplay,Western,Historical Fiction,Tom Dey,78,6.6,32446
Big Momma's House,117559438,173559438,33000000,2-Jun-00,91-00,PG-13,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Raja Gosnell,30,4.7,21318
Groove,1115313,1167524,500000,9-Jun-00,91-00,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,56,5.8,2486
Gone in 60 Seconds,101643008,232643008,103300000,9-Jun-00,91-00,PG-13,118,,,,,H.B. Halicki,,6.4,2940
Shaft,70327868,107190108,53012938,16-Jun-00,91-00,R,99,Paramount Pictures,Remake,Action,Contemporary Fiction,John Singleton,68,5.9,32881
Titan A.E.,22751979,36751979,75000000,16-Jun-00,91-00,PG,95,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Don Bluth,51,6.4,22286
Jesus' Son,1282084,1687548,2500000,16-Jun-00,91-00,R,,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.7,4620
Fantasia 2000 (Theatrical Release),9103630,9103630,80000000,16-Jun-00,91-00,G,,Walt Disney Pictures,Compilation,Musical,Fantasy,,,,
Boys and Girls,21799652,21799652,16000000,16-Jun-00,91-00,PG-13,94,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,11,4.9,7779
Chicken Run,106793915,227793915,42000000,21-Jun-00,91-00,G,84,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,96,7.3,48307
"Me, Myself & Irene",90570999,149270999,51000000,23-Jun-00,91-00,R,116,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,48,6.9,215
Woman Chaser,110719,110719,150000,23-Jun-00,91-00,R,,,,,,,,,
The Patriot,113330342,215300000,110000000,28-Jun-00,91-00,R,165,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Roland Emmerich,62,6.9,78302
The Adventures of Rocky & Bullwinkle,26000610,35129610,76000000,30-Jun-00,91-00,PG,91,Universal,Based on TV,Comedy,Kids Fiction,,42,4.1,10320
The Perfect Storm,182618434,328711434,120000000,30-Jun-00,91-00,PG-13,130,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Wolfgang Petersen,47,6.2,55716
Scary Movie,157019771,277200000,19000000,7-Jul-00,91-00,R,88,Miramax/Dimension,Original Screenplay,Comedy,Contemporary Fiction,Keenen Ivory Wayans,53,6,68541
The Kid,69688384,69688384,65000000,7-Jul-00,91-00,PG,104,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jon Turteltaub,49,5.9,14927
But I'm a Cheerleader,2205627,2595216,1200000,7-Jul-00,91-00,R,,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,,6.1,10073
X-Men,157299717,334627820,75000000,14-Jul-00,91-00,PG-13,104,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Bryan Singer,82,7.4,120706
The In Crowd,5217498,5217498,15000000,19-Jul-00,91-00,PG-13,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,2,4.2,2720
Pokemon 2000,43746923,133946923,30000000,21-Jul-00,91-00,G,99,Warner Bros.,Based on TV,Adventure,Kids Fiction,Michael Haigney,,,
Loser,15464026,18250106,20000000,21-Jul-00,91-00,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Amy Heckerling,25,5,12877
What Lies Beneath,155464351,288693989,90000000,21-Jul-00,91-00,PG-13,130,Dreamworks SKG,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Robert Zemeckis,45,6.5,45633
Thomas and the Magic Railroad,15911332,15911332,19000000,26-Jul-00,91-00,G,,Destination Films,Based on Book/Short Story,Adventure,Fantasy,,19,2.7,1613
Nutty Professor II: The Klumps,123307945,161600000,84000000,28-Jul-00,91-00,PG-13,107,Universal,Remake,Comedy,Contemporary Fiction,Peter Segal,,4.3,17075
Space Cowboys,90454043,128874043,65000000,4-Aug-00,91-00,PG-13,130,Warner Bros.,Original Screenplay,Adventure,Science Fiction,Clint Eastwood,79,6.3,29983
Saving Grace,12178602,24325623,4000000,4-Aug-00,91-00,R,,Fine Line,Original Screenplay,Comedy,Contemporary Fiction,,63,6.8,8543
Psycho Beach Party,267972,267972,4000000,4-Aug-00,91-00,Not Rated,,,,Comedy,,,55,6,3085
Coyote Ugly,60786269,115786269,45000000,4-Aug-00,91-00,PG-13,101,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,,21,5.3,33808
Hollow Man,73209340,191200000,90000000,4-Aug-00,91-00,R,112,Sony Pictures,Original Screenplay,Horror,Science Fiction,Paul Verhoeven,28,5.5,41499
Cecil B. Demented,1276984,1953882,10000000,11-Aug-00,91-00,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,John Waters,51,5.9,7565
The Replacements,44737059,50054511,50000000,11-Aug-00,91-00,PG-13,118,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Howard Deutch,39,6.2,21542
Autumn in New York,37752931,90717684,40000000,11-Aug-00,91-00,PG-13,106,MGM,Original Screenplay,Drama,Contemporary Fiction,Joan Chen,21,4.8,9309
Aim’_e & Jaguar,927107,927107,6800000,11-Aug-00,91-00,Not Rated,,Zeitgeist,Based on Book/Short Story,Drama,Dramatization,,,7.2,2974
Bless the Child,29374178,40435694,40000000,11-Aug-00,91-00,R,108,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Fantasy,Chuck Russell,3,4.8,7765
Godzilla 2000,10037390,10037390,1000000,18-Aug-00,91-00,PG,,Sony Pictures,Remake,Action,Science Fiction,,,,
The Original Kings of Comedy,38168022,38236338,3000000,18-Aug-00,91-00,R,116,Paramount Pictures,Based on Real Life Events,Concert/Performance,Factual,Spike Lee,86,6.2,3258
The Cell,61280963,61280963,35000000,18-Aug-00,91-00,R,109,New Line,Original Screenplay,Thriller/Suspense,Science Fiction,,46,6.2,36961
Bring it On,68353550,90453550,10000000,25-Aug-00,91-00,PG-13,99,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63,5.9,30309
The Crew,13019253,13019253,23000000,25-Aug-00,91-00,PG-13,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,19,6,1307
The Art of War,30199105,30199105,40000000,25-Aug-00,91-00,R,117,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Christian Duguay,16,5.5,12484
Highlander: Endgame,12801190,12801190,15000000,1-Sep-00,91-00,R,,Miramax/Dimension,Original Screenplay,Action,Fantasy,,,4.3,8421
Whipped,4142507,4142507,3000000,1-Sep-00,91-00,R,,Destination Films,Original Screenplay,Comedy,Contemporary Fiction,,13,4.2,2973
The Way of the Gun,6047856,13061935,9000000,8-Sep-00,91-00,R,,Artisan,Original Screenplay,Action,Contemporary Fiction,,48,6.5,17513
Nurse Betty,25170054,27732366,24000000,8-Sep-00,91-00,R,110,USA Films,Original Screenplay,Comedy,Contemporary Fiction,Neil LaBute,84,6.4,20354
Fiza,623791,1179462,1000000,8-Sep-00,91-00,Not Rated,,Video Sound,Original Screenplay,Drama,Contemporary Fiction,,,6.5,749
Anatomie,9598,9598,2500000,8-Sep-00,91-00,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266
The Watcher,28946615,47267829,33000000,8-Sep-00,91-00,R,97,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,10,3.7,959
Bait,15325127,15471969,35000000,15-Sep-00,91-00,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,26,5.6,5143
Almost Famous,32522352,47371191,60000000,15-Sep-00,91-00,R,123,Dreamworks SKG,Original Screenplay,Comedy,Dramatization,Cameron Crowe,88,8,94424
Duets,4734235,4734235,16000000,15-Sep-00,91-00,R,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,21,5.7,5340
Urbania,1032075,1032075,225000,15-Sep-00,91-00,R,,Lionsgate,Based on Play,Drama,Contemporary Fiction,,73,6.7,2218
Urban Legends: Final Cut,21468807,38574362,15000000,22-Sep-00,91-00,R,98,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,9,3.7,7609
Dancer in the Dark,4157491,45557491,12500000,22-Sep-00,91-00,R,,Fine Line,Original Screenplay,Musical,Contemporary Fiction,,68,7.8,36542
Woman on Top,5018450,10192613,8000000,22-Sep-00,91-00,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,35,4.9,4743
Best in Show,18621249,20695413,6000000,27-Sep-00,91-00,PG-13,90,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,94,7.4,24484
The Broken Hearts Club: A Romantic Comedy,1744858,2022442,1000000,29-Sep-00,91-00,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,,6.6,3731
Remember the Titans,115654751,136706683,30000000,29-Sep-00,91-00,PG,113,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,Boaz Yakin,72,7.5,49844
Beautiful,3134509,3134509,9000000,29-Sep-00,91-00,PG-13,,Destination Films,Original Screenplay,Drama,Contemporary Fiction,Sally Field,15,4.4,2238
Digimon: The Movie,9628751,16628751,5000000,6-Oct-00,91-00,PG,,20th Century Fox,Based on TV,Adventure,Kids Fiction,,,4.6,1727
Meet the Parents,166225040,301500000,55000000,6-Oct-00,91-00,PG-13,108,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jay Roach,84,7,84924
Get Carter,14967182,19417182,40000000,6-Oct-00,91-00,R,,Warner Bros.,Remake,Drama,Contemporary Fiction,,12,4.8,14196
Requiem for a Dream,3635482,7390108,4500000,6-Oct-00,91-00,Open,,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Darren Aronofsky,78,8.5,185226
Bamboozled,2185266,2373937,10000000,6-Oct-00,91-00,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,47,6.3,5958
The Ladies Man,13592872,13719474,11000000,13-Oct-00,91-00,R,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,11,4.7,6556
Billy Elliot,21995263,109280263,5000000,13-Oct-00,91-00,PG-13,110,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Stephen Daldry,85,7.7,38403
The Contender,17804273,17804273,9000000,13-Oct-00,91-00,R,,Dreamworks SKG,Original Screenplay,Drama,Contemporary Fiction,Rod Lurie,76,6.9,13709
Lost Souls,16779636,31320293,28000000,13-Oct-00,91-00,R,,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,7,4.5,6639
Just Looking,39852,39852,3000000,13-Oct-00,91-00,R,,,,,,Jason Alexander,,6.3,949
The Legend of Drunken Master,11546543,11546543,2000000,20-Oct-00,91-00,R,,Miramax,Original Screenplay,Action,Contemporary Fiction,,,,
Bedazzled,37879996,90376224,48000000,20-Oct-00,91-00,PG-13,93,20th Century Fox,Remake,Comedy,Contemporary Fiction,Harold Ramis,49,5.9,30946
Pay it Forward,33508922,33508922,40000000,20-Oct-00,91-00,PG-13,123,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Mimi Leder,40,6.8,36762
The Yards,882710,2282710,20000000,20-Oct-00,91-00,R,,Miramax,,Drama,,James Gray,64,6.3,8784
The Little Vampire,13555988,13555988,22000000,27-Oct-00,91-00,PG,,New Line,Based on Book/Short Story,Comedy,Kids Fiction,,53,5.3,2202
Lucky Numbers,10014234,10014234,65000000,27-Oct-00,91-00,R,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Nora Ephron,23,4.9,5461
Book of Shadows: Blair Witch 2,26421314,47721314,15000000,27-Oct-00,91-00,R,90,Artisan,Original Screenplay,Horror,Contemporary Fiction,,,4,16122
A Room for Romeo Brass,20097,20097,5250000,27-Oct-00,91-00,R,,,,,,Shane Meadows,,7.6,2393
Mercy Streets,173599,173599,600000,31-Oct-00,91-00,PG-13,,,,Drama,,,14,4.9,307
Charlie's Angels,125305545,263200000,90000000,3-Nov-00,91-00,PG-13,98,Sony Pictures,Based on TV,Adventure,Contemporary Fiction,Joseph McGinty Nichol,67,5.5,60791
The Legend of Bagger Vance,30695227,39235486,60000000,3-Nov-00,91-00,PG-13,126,Dreamworks SKG,Based on Book/Short Story,Drama,Historical Fiction,Robert Redford,43,6.4,21995
Red Planet,17480890,33463969,80000000,10-Nov-00,91-00,PG-13,,Warner Bros.,Original Screenplay,Action,Science Fiction,,12,5.3,20989
Little Nicky,39442871,58270391,80000000,10-Nov-00,91-00,PG-13,90,New Line,Original Screenplay,Comedy,Fantasy,,21,5,35082
Men of Honor,48814909,82339483,32000000,10-Nov-00,91-00,R,128,20th Century Fox,Based on Real Life Events,Drama,Dramatization,,41,6.8,30630
You Can Count on Me,9180275,11005992,1200000,10-Nov-00,91-00,R,,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,,95,7.7,14261
The 6th Day,34543701,96024898,82000000,17-Nov-00,91-00,PG-13,123,Sony Pictures,Original Screenplay,Action,Science Fiction,Roger Spottiswoode,40,5.8,32606
Rugrats in Paris,76501438,103284813,30000000,17-Nov-00,91-00,G,79,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,,
How the Grinch Stole Christmas,260044825,345141403,123000000,17-Nov-00,91-00,PG,104,Universal,Based on Book/Short Story,Comedy,Kids Fiction,Ron Howard,53,5.7,40310
Bounce,36779296,53399300,35000000,17-Nov-00,91-00,PG-13,106,Miramax,Original Screenplay,Drama,Contemporary Fiction,,51,5.5,10702
102 Dalmatians,66941559,66941559,85000000,22-Nov-00,91-00,G,100,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Kevin Lima,30,4.4,7147
Unbreakable,94999143,248099143,73243106,22-Nov-00,91-00,PG-13,107,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Super Hero,M. Night Shyamalan,68,7.3,97324
Panic,779137,889279,1000000,1-Dec-00,91-00,R,,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,,92,2.7,473
Vertical Limit,68473360,213500000,75000000,8-Dec-00,91-00,PG-13,124,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Campbell,47,5.6,24294
Proof of Life,32598931,62761005,65000000,8-Dec-00,91-00,R,135,Warner Bros.,Based on Magazine Article,Action,Contemporary Fiction,Taylor Hackford,39,6.1,23099
Dungeons and Dragons,15185241,33771965,35000000,8-Dec-00,91-00,PG-13,,New Line,Based on Game,Adventure,Fantasy,,,3.6,16954
Snatch,30093107,83593107,10000000,8-Dec-00,91-00,R,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Guy Ritchie,,8.2,173919
"Crouching Tiger, Hidden Dragon",128067808,213200000,15000000,8-Dec-00,91-00,PG-13,120,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,,,
The Emperor's New Groove,89296573,169296573,100000000,15-Dec-00,91-00,G,78,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355
"Dude, Where's My Car?",46729374,73180297,14000000,15-Dec-00,91-00,PG-13,83,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,19,,
Chocolat,71309760,152500343,25000000,15-Dec-00,91-00,PG-13,122,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62,7.3,56176
Pollock,8596914,10557291,6000000,15-Dec-00,91-00,R,,Sony Pictures Classics,Based on Real Life Events,Drama,Dramatization,Ed Harris,82,7.1,9669
What Women Want,182805123,372100000,65000000,15-Dec-00,91-00,PG-13,127,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,53,6.3,54525
Finding Forrester,51768623,80013623,43000000,19-Dec-00,91-00,PG-13,137,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74,7.2,35966
The Gift,12008642,44567606,10000000,19-Dec-00,91-00,R,,Paramount Vantage,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sam Raimi,56,6.7,28488
Miss Congeniality,106807667,212100000,45000000,22-Dec-00,91-00,PG-13,110,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,41,6.1,42323
The Family Man,75764085,124715863,60000000,22-Dec-00,91-00,PG-13,126,Universal,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52,6.6,34090
"O Brother, Where Art Thou",45506619,65976782,26000000,22-Dec-00,91-00,PG-13,102,Walt Disney Pictures,Traditional/Legend/Fairytale,Comedy,Historical Fiction,Joel Coen,,,
Cast Away,233632142,427230516,85000000,22-Dec-00,91-00,PG-13,144,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Robert Zemeckis,89,7.5,102936
The House of Mirth,3041803,3041803,10000000,22-Dec-00,91-00,PG,,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,,81,6.8,4489
Dracula 2000,33000377,33000377,28000000,22-Dec-00,91-00,R,99,Miramax,Original Screenplay,Horror,Contemporary Fiction,,15,4.8,14077
